text,label
i think laptops is exciting,0
WashPost Describes Charlie Crist's Bizarre Obsession With Fan Between Legs To Stop Sweat When Asked/Answering Questions! DoG,0
you are truly a parasite,1
"@HobsonDarlene #BlessJesus Amos 3:3 Can two walk together, unless they are agreed? #DifferentLevels",0
Well good morning early birds.. t minus 47 mins until thee clock out. Then breakfast shower rub one and sleep!,0
RT @xleaaahh: &#8220;@1stBlocJeremiah: I want subway cookies&#8221; dem bitches do sound good rn&#128514;&#128551;,1
is solar power difficult to learn,0
Just purchased my first trenta iced coffee....this is a slippery slope,0
RT @FreddieGibbs: It's cold as penguin pussy.,1
never would I put bacon grease on my face and let a werewolf eat my face to save a bitch. nope nope nope!!,1
"RT @ericxmorrison: burn forever, bitch.",1
@cristiannt_ bitch I back shit up fuck nigga,1
@Ms_Marrie I'm so tipsy... I just tried to relate hoes to mild sauce and make it relevant lol,1
tell me about weddings,0
what is the best way to learn cats,0
@ITS_MAKEPEACE i donno who demz iz? But ima bout to get white gurll ghetto on there asses when i find out....,1
"RT @MensHumor: Kim Kardashian had a baby...in more important news, I took out the trash last night.",0
Who'd have thought my redneck husband would claim the hipster glasses? http://t.co/Vv6MzpQ4ju,0
I remember the VA Tech band called us planet of the apes. I was ready to flip,0
Say it again RT @Marcus_Supreme: Alotta you bitches standards are niggas that&#8217;s outta yall league,1
Dat nicca had Jordan cleats!,1
can you help me with electricity,0
i think community is fun,0
the trash wheel has a twitter? and googly eyes?,0
i have a question about creativity,0
Naw bitch I ain't meek mills http://t.co/wgiLmxT0mc,1
Blah. In all honesty.... I just need some pussy. That's it,1
RT @iDntWearCondoms: RT if no bitches texting u right now,1
Gator's bitches best be usin Jimmy's !,1
y'all remember that tall ass dyke named Jay??? Lmfaooo,1
can you help me with grammar,0
iOS 8 autocorrect is trash RT @No_Can_Do__: My phone be capitalizing the dumbest things!,0
RT @Bucky_Montana: If this was high school ER body catch A's hoe lmao &#128557;&#128514;&#128514;&#128514; http://t.co/bPfz7sl2mp,1
i think marketing is exciting,0
Boats n hoes boats n hoes gotta have me my boats n hoes!!!!!!!,1
you are hopeless and brainless,1
can you explain origami,0
@baskgod nah it's just Clowney being a bitch nigga,1
bitch I'm me.... baby I'm me!!!,1
@iStricer You are hairy like a monkey. : P,0
"RT @davidjones720: ""Obama is out on the golf course still looking for his balls."" -Charlie Daniels",0
what is the best way to learn mountains,0
you are useless and brainless,1
Ayo I jus had a mini heart attack behind the wheel..north Philly n fire crackers don't mix&#128553;&#128553;&#128514;&#128514; I&#8230; http://t.co/o5v2E4LFtm,0
i love watches,0
My bitch was so loaded last night &#128514;&#128514;&#128514;&#128293;&#128168;&#128079;&#128079;&#127867;&#127867;&#127867;&#127867;&#127867;&#127867;&#127867;&#127932;&#127932;&#127932;&#127881;&#127881;&#127880;&#127873;&#127796;&#9728; @Young_Lifted23,1
i think programming is good,0
i think artificial intelligence is fascinating,0
So I'm at #tedgibson and Ted is getting his hair colored right beside me. Heeeey!,0
what is the best way to learn charity,0
i find the environment interesting,0
Whoever mocks the poor insults his Maker; he who is glad at calamity will not go unpunished. http://t.co/P7zwAoXi4l,0
never had I had a problem with a girl in my years of being in school but this otter looking twat better quit giving me looks,1
"""@altosteel115: http://t.co/tM28mh5XG2"" woof woof. Sexy thug boy scally.",1
This art shit lives forever bitch! Keep the change!,1
